Age,Annual Income,Spending Score,Previous Purchases,Campaign Engagement,Days Since Last Purchase,Gender,Marital Status,Children,Social Media Interaction,Email Click Rate,Online Browsing Time,Loyalty Points,Product Reviews,Customer Tenure,Response
21,90030,31,11,8,300,0,1,1,15,0.2504698132069927,208,3606,26,8,0
42,98519,19,7,8,164,0,0,1,15,0.21239836681217839,241,1521,35,5,0
31,86411,20,7,3,90,1,0,1,1,0.25115555603981354,150,2849,47,4,0
67,85206,87,5,1,321,0,0,1,8,0.46829796729066386,162,706,47,9,0
26,127469,27,2,6,191,0,0,2,12,0.1462796745206888,269,2253,8,3,0
43,76950,94,1,3,291,0,1,0,7,0.10661253859556374,64,2364,7,8,0
19,32523,85,13,4,75,0,1,2,10,0.7567406575295275,48,4800,13,19,0
37,90926,44,7,0,305,1,0,0,16,0.02330167122277016,163,92,48,1,0
45,39677,35,5,9,98,0,1,1,19,0.3854841807630268,128,523,37,8,0
64,105828,71,3,5,94,0,1,3,10,0.3960344145352248,21,1339,2,8,0
24,45089,22,4,6,180,1,1,1,10,0.8930413433249044,2,818,44,5,0
61,34581,74,12,2,153,1,1,1,15,0.77449110109525,234,4328,9,13,0
25,41907,87,8,9,355,0,1,3,6,0.510676730727234,267,1606,32,0,1
64,35609,15,12,1,323,0,1,1,0,0.4798129869354979,257,3682,17,17,0
52,81153,94,8,9,111,1,0,1,14,0.5656012996559333,192,4934,37,11,1
31,80539,98,15,6,170,0,1,3,17,0.357827825526843,40,3032,26,0,0
34,74143,13,11,0,252,1,1,1,13,0.7007771887625509,215,2143,29,5,0
53,52936,4,1,1,350,0,0,1,12,0.6860711712694103,243,3242,9,5,0
67,80182,82,18,2,121,0,0,0,1,0.5746546549402163,101,1019,39,3,0
57,138261,56,15,3,204,0,0,2,19,0.057692684744887535,266,2009,39,10,0
21,141259,23,12,4,244,0,1,1,10,0.1268376566302275,179,3128,13,0,0
19,129524,97,4,3,126,0,0,1,18,0.03927627621125862,179,4320,46,0,0
23,125042,98,5,9,358,0,0,1,5,0.7185157335689182,190,1442,6,7,0
59,43163,34,16,2,314,1,1,0,16,0.4775996801328235,270,4946,10,2,0
21,89758,99,16,0,45,0,0,1,0,0.9549811694970473,69,4192,30,11,0
46,76057,17,16,6,295,0,1,2,19,0.9523283675559442,39,4035,25,5,0
35,42537,28,2,9,235,0,1,3,4,0.7981708184602742,8,2784,21,5,0
43,52419,14,12,5,140,0,1,0,0,0.4430489159425893,113,2352,5,16,0
61,72578,34,11,1,120,1,1,3,12,0.31635039944358245,144,2051,19,8,0
51,104991,75,5,1,360,1,1,0,0,0.20097421801244886,150,2075,42,13,0
27,104599,57,12,2,8,0,1,1,11,0.23249492000316319,222,2111,14,18,0
53,30834,77,13,7,65,0,1,0,8,0.9903184570247033,79,583,49,12,1
31,62214,97,6,7,308,1,1,1,12,0.530348771956296,50,1163,28,4,0
48,122934,55,4,9,80,0,0,3,9,0.012253482960895679,85,1193,30,8,0
65,130028,66,13,9,259,0,0,3,15,0.04429320337870124,143,3345,9,9,0
32,32413,98,17,9,104,1,1,2,5,0.4587662161226951,172,1819,49,3,1
25,39505,93,3,9,96,1,1,2,7,0.4434817863476028,188,4191,13,6,0
31,132802,37,0,7,189,0,1,0,6,0.40555872506898205,267,3933,8,18,0
40,32105,68,6,6,347,0,1,0,12,0.8236034188483056,200,2645,23,16,1
57,98104,76,19,1,194,1,1,1,16,0.7031553532975799,5,1585,36,13,0
38,137634,26,12,0,333,1,0,3,11,0.10741714885551079,101,1732,27,16,0
33,144897,61,3,5,82,0,0,3,10,0.36267889612024384,247,1922,18,19,0
62,88408,92,12,7,250,0,1,0,5,0.5966799354577991,201,2998,28,13,1
35,67679,67,3,0,69,1,0,3,14,0.38248887910362617,231,2834,19,6,0
64,146908,84,2,2,291,0,0,2,4,0.20830533115426808,162,4113,14,14,0
41,144921,74,7,0,339,1,1,0,15,0.6280529576166575,46,669,39,11,0
43,129096,52,19,9,187,1,1,2,10,0.6022491698084326,84,2030,35,12,0
42,109731,18,7,8,140,1,1,1,9,0.9746094408286368,116,4599,31,17,0
62,142205,53,16,6,139,0,0,2,7,0.5610703209655656,274,3556,19,5,0
58,95131,63,14,7,74,1,1,0,4,0.8742975862461198,282,839,20,5,1
46,94280,53,3,8,99,1,1,2,9,0.9491961963639063,138,2044,35,5,0
32,45762,27,5,2,144,0,1,2,9,0.43478397476766284,186,656,27,2,0
62,147798,31,5,9,174,1,0,0,0,0.05289370251956904,40,183,37,6,0
18,146854,91,9,1,308,1,0,1,12,0.14349439763520966,170,3085,5,11,0
42,136830,1,3,5,220,0,1,2,19,0.5039701975286494,27,1726,4,1,0
24,88703,6,8,4,322,1,1,0,17,0.8929580036382149,62,2638,6,17,0
26,111434,11,15,3,9,0,0,2,4,0.6541320694824414,279,4451,44,0,0
41,93079,34,6,5,45,0,0,2,15,0.20148171662775138,204,3601,46,14,0
18,51577,84,13,5,338,1,1,3,5,0.701044349731796,294,2023,23,10,1
61,31214,63,5,2,116,1,1,2,9,0.8942193248033983,121,1380,34,19,0
25,116339,53,0,1,3,1,0,1,6,0.03022555951180117,44,3806,28,19,0
41,78114,85,17,8,312,1,0,2,19,0.24281212220685666,170,4108,47,7,1
28,119234,85,11,7,237,1,0,0,15,0.1531808246007953,194,1352,13,11,0
68,93230,18,14,3,293,0,0,0,0,0.7841030011464557,296,1773,34,17,0
34,62980,21,0,5,30,0,0,3,6,0.8914774090720953,46,2879,3,4,0
25,97194,19,14,2,129,1,1,3,11,0.5545574765511835,121,1509,17,18,0
52,107806,4,14,7,240,1,1,2,14,0.8482018678397498,150,1862,47,14,0
52,142333,77,15,2,80,0,1,3,1,0.6569371629343872,287,151,21,16,0
50,67792,82,0,1,24,1,0,1,17,0.6566995415565662,73,1507,39,10,0
22,75807,29,2,6,260,1,1,3,3,0.5797081685461087,184,2697,29,5,0
59,52301,25,11,2,47,1,1,0,12,0.05001870083667148,165,766,41,17,0
56,35141,56,6,8,51,0,1,3,8,0.9369781052107985,76,2419,42,13,0
58,146482,77,4,2,329,0,1,1,3,0.3557714268385471,270,3861,14,5,0
45,134292,63,0,7,148,0,0,1,8,0.8025777051649978,12,1413,42,7,0
24,43777,27,0,1,98,0,1,3,0,0.8099845704732372,290,3377,8,11,0
26,68346,60,14,8,66,1,0,3,7,0.9657612344665172,129,3034,19,16,0
25,84703,83,7,0,209,1,1,3,0,0.32669963910257693,60,811,3,9,0
29,124977,49,10,2,247,1,0,0,15,0.9973994006167646,95,1221,0,0,0
51,77819,65,13,1,118,0,1,0,14,0.30057448109186424,85,4358,17,14,0
50,58469,38,12,6,227,1,1,1,14,0.4513701649045748,3,1525,3,16,0
65,33845,83,18,4,102,0,0,3,4,0.7062500328671306,109,1570,27,7,1
40,140186,52,11,7,288,1,0,2,18,0.15498862796816748,13,1117,6,7,0
41,53290,1,18,1,239,0,0,1,10,0.2663731844634748,144,2890,13,9,0
54,142551,40,3,7,231,1,0,0,18,0.7281135073641878,141,3135,39,13,0
52,60699,81,3,6,289,1,1,1,2,0.9743841547967507,231,765,49,14,0
61,74252,21,2,4,153,1,1,0,3,0.7327987789501219,40,4125,37,9,0
57,128682,86,5,1,169,1,0,2,15,0.8622987785159838,282,2489,16,19,0
39,33293,15,4,9,158,1,1,3,11,0.03748675242208499,39,569,38,12,0
44,148017,50,10,6,112,1,1,3,6,0.577025909420771,34,1930,49,18,0
52,149496,48,8,9,50,1,1,3,0,0.9140918660793929,94,1093,5,19,0
18,139934,32,2,3,35,1,0,2,10,0.6823970414648326,186,1746,25,13,0
52,87089,49,8,3,12,1,1,2,14,0.6764622913564607,176,799,40,13,0
54,141964,68,11,7,340,0,1,2,18,0.203040205035384,190,1456,3,7,1
64,46608,45,2,5,217,0,0,2,14,0.8611411665777489,10,4057,27,13,0
31,96273,32,19,8,242,0,0,0,8,0.8650453541185853,250,4466,12,19,0
20,46619,4,16,1,222,0,1,1,12,0.6140070379965981,249,1512,33,8,0
18,108006,65,11,4,207,0,1,2,17,0.42661820600273137,79,3581,45,2,1
22,145399,97,17,5,268,0,0,0,16,0.8242734646665772,296,4546,17,4,1
43,117908,71,3,7,221,1,1,1,4,0.46499568287687676,159,2009,23,14,0
31,111653,73,9,3,287,1,0,1,15,0.8226146366911571,20,4861,29,12,0
56,44779,65,17,6,11,0,1,2,6,0.4849157471599743,247,3887,49,0,1
44,81040,80,7,6,186,0,0,2,4,0.5797939486402113,113,3790,9,6,1
26,124830,18,8,3,168,1,0,1,10,0.7480220353927209,250,2405,1,11,0
32,86325,54,18,0,292,1,1,1,15,0.2649935859246434,180,960,42,11,0
32,145947,47,12,2,323,1,0,0,12,0.24684522763789696,47,973,28,3,0
43,51630,6,5,1,105,1,1,2,1,0.6678412859851909,57,4450,0,0,0
59,135575,66,6,2,175,0,1,1,11,0.9539132794088786,136,1013,16,3,0
30,145436,9,5,4,348,0,1,1,11,0.44603396524071315,155,3976,21,18,0
68,42178,68,10,0,40,1,1,3,9,0.8982023388855779,155,1498,25,16,0
49,49935,23,16,4,311,0,1,2,12,0.5181871071770481,173,4840,9,8,0
56,77258,43,18,1,324,0,0,0,11,0.97393122673762,281,4255,7,6,0
66,52784,51,11,3,248,1,1,0,18,0.7920474654495844,250,2616,19,6,0
69,93722,72,12,5,266,1,1,3,16,0.8595575334077067,195,701,21,17,1
49,53027,25,17,8,221,1,1,2,15,0.6796040275276786,194,2143,47,3,0
21,126544,80,6,9,112,1,0,0,16,0.8684925756669323,229,709,23,19,1
47,87853,35,4,5,283,0,0,3,5,0.5927982783333989,43,2100,21,3,0
54,142167,17,15,9,277,1,0,0,17,0.5673367655481328,216,2859,22,2,0
40,97359,18,3,1,202,1,0,0,10,0.8737114711523654,276,4411,48,19,0
56,102388,27,0,7,340,0,1,3,11,0.015066170782723542,35,3238,27,18,0
62,108608,15,3,4,261,1,1,1,16,0.4787789030540466,69,2543,1,15,0
32,106669,81,2,8,281,1,0,1,1,0.8700739141970102,180,2812,41,2,0
60,45111,69,3,9,143,0,0,0,12,0.19614952770232064,254,4702,36,2,0
46,62312,80,0,8,242,1,0,2,18,0.9580093214805603,147,3871,3,15,0
53,54161,15,11,3,269,1,0,2,18,0.7406017489584513,222,680,36,10,0
30,148920,42,12,0,34,0,1,2,3,0.7624224831028694,114,3667,20,11,0
49,134823,34,1,8,297,1,0,3,0,0.6654761808140828,126,168,25,2,0
24,97313,48,8,8,52,1,1,0,1,0.4474744082629776,93,501,14,4,0
68,80374,83,6,7,355,0,1,3,17,0.4609564237998338,258,3591,34,6,1
39,54014,8,12,4,149,0,0,2,11,0.8391081204074896,211,4816,46,8,0
45,110308,10,1,4,12,1,1,3,8,0.1391393434292627,7,2099,14,11,0
19,76389,5,0,9,266,1,1,1,4,0.5220674511643983,255,1203,21,5,0
59,140163,48,17,5,96,1,0,2,15,0.30994705867507044,117,1266,0,16,0
62,48161,26,6,0,85,1,1,2,3,0.9843164085848927,0,4812,25,12,0
23,137800,86,17,8,308,0,0,1,19,0.0036929871012066906,1,2596,9,19,0
45,37490,23,18,4,264,0,0,1,2,0.0636743402432648,73,1827,19,12,0
45,149547,62,7,6,70,0,0,0,17,0.9673878667599085,292,1684,47,19,1
61,137197,13,11,7,16,1,1,3,7,0.543791746685792,249,1966,0,13,0
61,54502,9,10,4,188,0,1,0,1,0.13853511401569685,93,2653,11,14,0
37,65757,20,8,2,9,1,0,0,11,0.4486402908274818,50,4498,40,17,0
47,71111,92,3,5,165,1,0,0,0,0.3226575429188878,171,4348,23,10,0
28,128273,57,6,6,38,0,1,0,17,0.9112081489038877,151,4839,25,10,0
45,113245,24,16,3,344,0,1,1,9,0.6875793126323068,159,4686,42,5,0
42,88645,33,10,8,218,0,0,1,7,0.13051885746507552,183,3735,49,6,0
56,140218,20,1,3,93,1,1,3,3,0.5364456180285438,191,4044,1,8,0
50,89055,60,17,9,157,0,1,3,17,0.13446017235515506,157,4951,19,1,0
18,149815,48,11,1,362,1,1,3,2,0.6652306365047368,165,3328,18,12,0
44,38998,64,8,8,33,0,1,1,2,0.7272272850684108,118,2154,24,15,1
69,58906,30,10,3,288,1,1,2,11,0.5621600717286163,125,4722,38,7,0
30,131026,73,4,3,11,0,0,2,18,0.9659558101159786,182,721,0,8,0
58,100192,17,6,9,232,1,0,3,16,0.9443344509903397,44,1970,30,1,0
20,80477,14,0,0,86,1,0,2,16,0.20591561991494467,189,996,3,17,0
56,66901,19,4,1,92,0,0,0,3,0.00032938550579053594,134,1210,2,19,0
23,121271,71,5,2,106,1,0,3,6,0.6627488177467113,154,4362,35,11,0
25,82021,59,12,6,192,0,0,2,6,0.4756415572962799,229,4251,10,7,0
44,59092,67,10,8,9,1,1,0,6,0.334658524223597,229,4020,18,9,1
26,31242,97,7,4,124,0,1,0,7,0.9168897562438991,22,3233,8,8,0
54,136843,44,19,3,274,0,0,0,18,0.9785077669834835,159,4792,41,14,0
50,31831,32,1,1,278,1,1,0,8,0.9305772691468253,1,3432,40,10,0
68,80721,11,14,6,127,0,0,2,8,0.500195258050751,202,2047,19,10,0
59,58511,2,9,5,340,1,0,1,13,0.7033566627405918,161,256,8,5,0
61,102782,90,7,6,184,1,0,0,17,0.17157361255489334,188,1166,17,16,0
41,127003,68,1,7,362,0,1,3,8,0.9508565916598374,110,2967,44,0,0
32,48302,17,14,8,354,0,1,2,4,0.28367668851931227,289,1959,35,16,0
49,85568,81,5,9,58,1,1,0,7,0.19273934187728903,262,3141,41,1,0
49,33232,92,4,4,181,1,1,3,3,0.060158566290676396,265,3014,31,10,0
41,132062,94,2,4,73,1,0,0,19,0.5503713200367569,129,66,3,9,0
58,134301,40,10,3,1,1,1,1,13,0.9484637905039759,240,3095,29,2,0
69,81507,87,10,2,242,1,1,0,16,0.1355882507011794,80,893,10,4,0
66,106508,46,15,6,227,0,1,1,15,0.12083030227828206,156,3019,41,10,0
66,143672,88,2,4,47,0,0,3,8,0.27259763222623157,209,695,18,6,0
69,130128,93,8,6,5,1,0,2,4,0.665393892983078,237,444,17,17,0
29,40683,4,2,1,42,1,1,0,4,0.5478135063785179,16,1817,44,8,0
56,53664,38,18,8,144,1,1,1,5,0.09620696028024611,183,4416,4,11,0
19,132364,63,10,8,126,0,1,3,5,0.44230024148031266,85,1792,42,9,1
20,63172,29,13,8,334,0,0,0,7,0.0669322863831544,271,3195,37,19,0
66,113641,19,1,4,245,0,1,0,15,0.8519034785911834,152,3305,18,5,0
54,94340,91,6,9,120,1,0,0,13,0.10711177922842285,270,3330,19,1,0
66,117236,29,9,8,231,0,0,1,0,0.47129831178308756,100,4713,1,1,0
34,41017,35,9,0,188,0,1,2,15,0.510463581618413,78,1751,18,0,0
66,66613,70,19,1,284,0,0,3,14,0.5301262722627971,270,203,36,14,0
19,116130,23,0,9,241,0,1,1,4,0.6091549145884159,183,1101,42,13,0
19,106920,46,5,4,77,1,1,2,8,0.7015824208841358,81,1638,10,10,0
45,60348,44,13,4,57,1,1,3,2,0.004358006633203626,36,544,12,2,0
40,46448,48,1,5,180,0,1,1,6,0.030914367390173392,127,20,19,1,0
54,39491,52,5,7,69,0,0,1,6,0.6115513959505868,64,654,41,11,0
49,108648,8,0,0,264,1,1,2,15,0.18214204363962405,288,3630,41,18,0
50,126557,55,2,9,203,1,1,3,2,0.831845114102642,130,4831,1,1,0
18,88759,66,3,8,169,0,0,2,14,0.6275116489447843,181,1764,49,13,0
36,74553,77,12,3,294,0,0,2,6,0.9804007286875784,148,1780,8,16,0
19,30968,40,2,7,246,0,1,1,2,0.7280042903923111,109,4914,44,8,0
61,30368,85,14,4,58,1,0,2,15,0.09071441239125932,104,4896,6,14,0
43,103960,31,12,0,299,0,1,0,5,0.1709759425423144,26,2017,3,0,0
49,65010,48,10,8,320,1,1,0,7,0.046548897257781996,114,490,47,4,0
23,84154,61,3,7,10,0,1,0,15,0.7411758656168012,226,4477,1,6,0
49,65851,52,16,4,346,0,0,0,5,0.12682328497574546,128,3691,22,9,0
21,55496,38,4,3,339,1,1,3,15,0.663767493511971,259,3018,0,2,0
28,60936,91,7,7,4,0,0,2,1,0.5553977442655624,23,2023,48,17,0
34,108858,36,9,8,204,0,0,2,0,0.6332976406184917,109,3060,4,1,0
55,97005,87,6,6,244,0,1,0,18,0.5086698980929099,156,1160,31,8,1
41,67493,55,16,3,248,0,1,3,13,0.013028710900172324,21,286,18,10,0
22,99795,85,6,6,104,0,1,2,18,0.2532180757312127,150,1692,30,15,1
69,66390,13,18,5,241,1,0,0,3,0.8849818367288179,212,2380,3,13,0
51,40292,37,8,2,271,0,0,1,1,0.9292685681600968,7,2185,6,3,0
23,122377,47,1,9,6,1,1,2,1,0.09720978834524474,79,1617,31,9,0
39,58365,90,19,2,223,1,0,1,11,0.9526286984462449,87,2426,32,15,0
28,47207,71,18,0,216,1,0,2,10,0.6705260517735092,58,3738,5,9,0
65,131735,22,5,4,43,1,0,2,17,0.9225575736694808,89,415,33,6,0
33,52912,39,9,7,25,0,1,2,18,0.40116393808125406,262,263,14,17,0
50,132455,87,12,5,291,1,1,1,16,0.1017450425623776,280,2551,27,19,0
26,132517,58,1,7,180,1,0,3,3,0.30245326393389715,101,4044,15,16,0
23,110771,30,9,6,91,1,0,1,11,0.6896815171974493,172,2705,20,10,0
33,86572,18,9,1,267,1,1,0,2,0.7952214988989144,217,3737,21,3,0
46,137293,18,4,7,345,1,0,3,15,0.050122282917060335,255,79,32,9,0
20,129083,74,3,3,67,1,0,1,3,0.48695167008826723,153,3796,34,8,0
37,143655,39,1,4,363,1,1,1,5,0.06436670219341911,157,1261,24,10,0
53,139346,94,6,7,150,0,1,0,0,0.8636133042274214,193,2819,39,4,1
36,49276,26,17,4,103,0,1,1,4,0.4763388247760757,234,3872,25,6,0
43,127459,71,16,4,87,0,0,3,9,0.9148218262530924,52,4638,18,8,1
20,35534,7,10,5,94,1,1,1,13,0.07857881289668367,200,4000,19,10,0
36,122005,69,17,6,285,0,0,3,4,0.3304699847762844,166,398,29,10,0
37,131610,65,7,8,318,1,1,0,9,0.676538433113228,107,4558,41,15,1
49,65670,46,11,6,2,0,1,3,8,0.29358608101999517,139,1190,46,7,0
24,92147,18,0,5,207,0,1,1,12,0.8415585403609813,127,3656,35,7,0
69,128099,13,19,9,101,0,1,0,16,0.9868336982692311,177,4987,19,1,0
58,141695,25,11,3,347,0,1,3,18,0.28121959931021756,55,3359,40,16,0
50,66486,8,5,9,176,1,1,3,19,0.36107786454376267,176,1004,44,19,0
57,95557,74,2,1,303,0,0,2,0,0.9673455396527073,287,1855,21,1,0
56,64268,32,4,8,198,1,1,2,8,0.3580611065980617,81,4265,36,18,0
35,137338,17,13,9,7,0,0,1,17,0.5559865133236718,212,2516,26,12,0
57,111335,79,11,4,244,0,1,2,4,0.7692416662343887,171,2955,31,9,1
18,56336,79,12,4,292,1,0,1,13,0.43834475436575493,168,1698,45,13,1
28,33641,48,12,2,326,1,0,0,18,0.37260794912590933,96,1843,21,4,0
45,117132,63,16,2,177,1,0,3,14,0.4955883460675484,222,4714,7,2,0
42,62959,40,14,0,81,1,1,0,3,0.779519883038184,194,2399,11,1,0
67,43306,84,5,4,111,1,0,0,3,0.312162277216244,149,1138,24,8,0
40,76182,15,11,2,358,0,1,2,17,0.3508074971185079,241,3289,17,6,0
48,104123,99,1,1,20,1,0,3,17,0.18913930380410493,88,957,0,3,0
47,86326,6,3,8,33,1,1,0,7,0.7016175000827763,177,3785,31,2,0
59,126895,94,19,9,254,1,0,3,1,0.8994504690301148,211,3432,45,13,1
52,51498,63,11,5,26,1,0,3,15,0.1857399208999585,158,150,1,9,0
24,100198,8,2,2,7,1,1,0,13,0.034589537063794196,50,4820,35,18,0
33,132630,95,16,6,17,1,0,3,0,0.38127065826725703,247,4368,45,18,1
43,137369,32,5,8,232,0,0,1,16,0.41015476497902414,288,3544,21,16,0
65,57197,45,16,8,306,1,0,3,9,0.6458635267811959,19,2496,15,9,0
69,50719,52,16,0,190,1,0,1,15,0.08559099898817846,175,4220,47,6,0
66,120201,79,10,1,149,0,1,1,2,0.8214984056997537,71,2125,27,19,0
19,138775,82,6,7,155,0,0,1,18,0.5739868071366728,229,4629,47,1,1
18,55032,13,1,0,46,0,1,0,10,0.5459709187588837,120,2830,35,6,0
65,89624,24,18,2,311,0,1,1,14,0.3163630337149902,141,4467,15,7,0
29,108177,40,1,6,138,0,0,3,17,0.3652675131337638,61,2622,34,14,0
22,71964,14,12,7,141,0,0,2,19,0.0554272505342468,178,417,32,16,0
54,60028,92,15,4,334,1,1,2,18,0.7537547775628731,205,2652,24,13,1
49,141030,75,16,1,13,0,0,2,6,0.6047365634255444,126,2133,38,7,0
26,84646,70,10,2,355,1,0,1,5,0.9764285075354048,197,70,11,14,0
58,111187,62,8,8,258,0,1,0,8,0.35356177260529964,97,3378,15,11,1
52,38536,89,8,9,235,0,1,1,12,0.66624371555632,126,2793,35,17,1
36,147399,61,13,6,6,0,0,2,7,0.9195452971418061,80,4977,32,14,1
65,86747,1,12,0,38,1,0,3,17,0.7116808890859052,230,4359,47,5,0
33,75712,89,10,2,184,0,0,1,2,0.04031052469545604,293,3045,40,7,0
20,36273,66,11,8,114,0,0,2,0,0.6322368025455855,142,3328,35,13,1
37,101820,32,2,6,109,0,1,3,17,0.5453910142844713,35,4184,35,17,0
41,121228,13,0,1,64,0,1,0,3,0.4993133382968047,227,2988,48,17,0
50,104353,33,7,5,230,0,0,3,17,0.5530439676251472,8,3630,27,9,0
41,124491,32,18,8,280,0,1,0,15,0.4605658268385673,235,3711,33,4,0
69,122091,56,12,3,30,1,1,3,17,0.691832232643723,226,4567,15,2,0
28,115914,24,6,9,85,0,1,0,2,0.014912902800988559,236,2366,28,7,0
66,80830,91,12,1,137,0,0,0,13,0.18855971253790316,144,745,28,12,0
25,136718,4,5,2,76,0,1,0,9,0.3653856287669277,81,4602,23,11,0
53,47127,88,2,6,136,0,0,1,4,0.45266727027802556,3,3783,22,6,0
55,145150,23,5,3,121,0,1,3,7,0.1304863480022852,83,4737,16,0,0
57,113488,29,2,6,263,1,1,0,17,0.8201459775572799,12,4191,3,0,0
37,41539,98,12,4,96,0,0,3,4,0.9293913714280669,114,1750,22,4,1
52,76761,21,12,7,18,1,0,1,11,0.751215489361119,298,3057,21,11,0
65,76219,30,12,7,285,1,0,2,3,0.928818048328722,263,4969,37,3,0
42,44692,90,0,4,8,0,0,2,11,0.7432213725850382,234,4578,26,6,0
52,113656,20,7,6,82,0,0,0,12,0.44105601880441614,122,603,29,12,0
42,43334,16,4,5,46,0,0,1,13,0.3931329733617922,209,2515,21,15,0
46,58615,67,19,7,89,1,0,3,13,0.16639938189634784,198,640,5,7,0
35,37903,49,16,8,0,1,1,0,18,0.08644704102927125,43,425,26,14,0
63,58527,58,8,4,161,0,1,2,9,0.2196182820450555,178,4039,21,9,0
35,45629,44,12,6,152,0,1,1,8,0.5321357322342294,116,2026,12,16,0
19,88008,25,12,0,0,1,0,2,17,0.1349471511130188,246,1493,23,10,0
52,113276,23,4,7,145,1,1,1,16,0.9511635460355795,100,3446,49,15,0
33,129318,59,13,2,160,1,0,2,4,0.2185024570514542,9,2784,32,14,0
58,56708,1,10,0,134,0,1,0,1,0.8336313953259302,221,855,29,0,0
53,40860,97,13,5,285,0,0,0,9,0.8188189628567579,280,1683,21,5,1
50,47438,15,6,7,76,0,0,0,0,0.14120383088838317,102,1184,6,6,0
21,97300,81,16,2,80,1,0,2,7,0.7107428476207258,161,2648,8,10,0
50,101545,98,3,0,268,0,1,3,7,0.8241138369017904,43,4856,31,4,0
31,50842,81,9,2,268,0,1,2,5,0.8842873617776824,245,2723,34,1,0
